slip_id,timestamp,slip_type,n_legs,proj_slip_ev_pct,leg_num,player,league,prop,line,side,true_prob,ind_ev_pct,game_start,closing_prob,clv_pct,result,stat_actual
7A11DDEE,2026-04-06T16:24:37,Power,3,0.1921,1,Jake Rogers,MLB,Hits+Runs+RBIs,0.5,over,0.6231,0.152,2026-04-06T19:40:00.000-04:00,0.6231,0.0,miss,0.0
7A11DDEE,2026-04-06T16:24:37,Power,3,0.1921,2,Zach McKinstry,MLB,Hits,0.5,over,0.5884,0.088,2026-04-06T19:40:00.000-04:00,0.5884,0.0,hit,1.0
7A11DDEE,2026-04-06T16:24:37,Power,3,0.1921,3,Logan Gilbert,MLB,Pitcher Strikeouts,6.5,under,0.5419,0.0019,2026-04-06T20:05:00.000-04:00,0.5419,0.0,hit,5.0
C527E039,2026-04-06T17:06:33,Flex,5,0.0125,1,Victor Wembanyama,NBA,Rebs+Asts,16.5,under,0.5506,0.018,2026-04-06T20:10:00.000-04:00,0.5506,0.0,hit,6.0
C527E039,2026-04-06T17:06:33,Flex,5,0.0125,2,Stephon Castle,NBA,Rebs+Asts,13.5,under,0.5467,0.0109,2026-04-06T20:10:00.000-04:00,0.5467,0.0,miss,23.0
C527E039,2026-04-06T17:06:33,Flex,5,0.0125,3,Mikal Bridges,NBA,Rebs+Asts,6.5,over,0.5428,0.0036,2026-04-06T19:10:00.000-04:00,0.5428,0.0,hit,7.0
C527E039,2026-04-06T17:06:33,Flex,5,0.0125,4,Germán Márquez,MLB,Pitcher Strikeouts,3.5,under,0.5419,0.0019,2026-04-06T18:40:00.000-04:00,0.5419,0.0,miss,4.0
C527E039,2026-04-06T17:06:33,Flex,5,0.0125,5,Corey Seager,MLB,Hits+Runs+RBIs,1.5,over,0.5402,-0.0011,2026-04-06T20:05:00.000-04:00,0.5402,0.0,hit,4.0
08869A7A,2026-04-06T17:36:34,Flex,5,0.0278,1,Yainer Diaz,MLB,Total Bases,1.5,under,0.5735,0.0603,2026-04-06T20:40:00.000-04:00,0.5735,0.0,hit,1.0
08869A7A,2026-04-06T17:36:34,Flex,5,0.0278,2,Jeimer Candelario,MLB,Hits,0.5,over,0.5435,0.005,2026-04-06T21:38:00.000-04:00,0.5435,0.0,miss,0.0
08869A7A,2026-04-06T17:36:34,Flex,5,0.0278,3,Paolo Banchero,NBA,Rebs+Asts,12.5,over,0.5428,0.0036,2026-04-06T19:10:00.000-04:00,0.5428,0.0,miss,8.0
08869A7A,2026-04-06T17:36:34,Flex,5,0.0278,4,Jalen Johnson,NBA,Rebs+Asts,17.5,under,0.5372,-0.0067,2026-04-06T19:10:00.000-04:00,0.5372,0.0,hit,16.0
08869A7A,2026-04-06T17:36:34,Flex,5,0.0278,5,Joel Embiid,NBA,3-PT Made,1.5,under,0.5372,-0.0067,2026-04-06T20:10:00.000-04:00,0.5372,0.0,miss,2.0
86E887E9,2026-04-06T19:22:20,Power,3,0.0448,1,Yaxel Lendeborg,NCAAB,Rebounds,5.5,over,0.5884,0.088,2026-04-06T20:50:00.000-04:00,0.5884,0.0,miss,2.0
86E887E9,2026-04-06T19:22:20,Power,3,0.0448,2,Aday Mara,NCAAB,Rebounds,7.5,over,0.5452,0.008,2026-04-06T20:50:00.000-04:00,0.5452,0.0,miss,4.0
86E887E9,2026-04-06T19:22:20,Power,3,0.0448,3,Dyson Daniels,NBA,Rebs+Asts,11.5,over,0.5428,0.0036,2026-04-06T19:10:00.000-04:00,0.5428,0.0,hit,15.0
CB75C5EC,2026-04-06T19:27:25,Flex,5,0.1153,1,Walter Clayton,NBA,3-PT Made,1.5,under,0.5894,0.0898,2026-04-06T20:10:00.000-04:00,0.5894,0.0,miss,2.0
CB75C5EC,2026-04-06T19:27:25,Flex,5,0.1153,2,Jared McCann,NHL,Points,0.5,under,0.561,0.0373,2026-04-06T19:38:00.000-04:00,0.561,0.0,miss,1.0
CB75C5EC,2026-04-06T19:27:25,Flex,5,0.1153,3,De'Aaron Fox,NBA,Rebs+Asts,9.5,under,0.5595,0.0345,2026-04-06T20:10:00.000-04:00,0.5595,0.0,hit,4.0
CB75C5EC,2026-04-06T19:27:25,Flex,5,0.1153,4,De'Aaron Fox,NBA,Assists,5.5,over,0.5452,0.008,2026-04-06T20:10:00.000-04:00,0.5452,0.0,miss,4.0
CB75C5EC,2026-04-06T19:27:25,Flex,5,0.1153,5,Joel Embiid,NBA,Rebs+Asts,12.5,under,0.5428,0.0036,2026-04-06T20:10:00.000-04:00,0.5428,0.0,miss,13.0
A79B42A6,2026-04-06T19:40:18,Power,6,0.1897,1,Jake Rogers,MLB,Hits+Runs+RBIs,0.5,over,0.6178,0.1423,2026-04-06T19:40:00.000-04:00,0.6178,0.0,miss,0.0
A79B42A6,2026-04-06T19:40:18,Power,6,0.1897,2,De'Aaron Fox,NBA,Rebs+Asts,9.5,under,0.5608,0.037,2026-04-06T20:10:00.000-04:00,0.5608,0.0,hit,4.0
A79B42A6,2026-04-06T19:40:18,Power,6,0.1897,3,Joel Embiid,NBA,Rebs+Asts,12.5,under,0.5428,0.0036,2026-04-06T20:10:00.000-04:00,0.5428,0.0,miss,13.0
A79B42A6,2026-04-06T19:40:18,Power,6,0.1897,4,Jake Rogers,MLB,Hits,0.5,over,0.5452,0.008,2026-04-06T19:40:00.000-04:00,0.5452,0.0,miss,0.0
A79B42A6,2026-04-06T19:40:18,Power,6,0.1897,5,Corey Seager,MLB,Hits+Runs+RBIs,1.5,over,0.5386,-0.0042,2026-04-06T20:05:00.000-04:00,0.5386,0.0,hit,4.0
A79B42A6,2026-04-06T19:40:18,Power,6,0.1897,6,Julian Champagnie,NBA,Steals,0.5,over,0.5386,-0.0042,2026-04-06T20:10:00.000-04:00,0.5386,0.0,miss,0.0
B64544B4,2026-04-06T19:41:23,Power,5,0.4116,1,Cole Perfetti,NHL,Points,0.5,under,0.6561,0.2132,2026-04-06T19:38:00.000-04:00,0.6561,0.0,hit,0.0
B64544B4,2026-04-06T19:41:23,Power,5,0.4116,2,Brandon Montour,NHL,Shots On Goal,2.5,under,0.5899,0.0908,2026-04-06T19:38:00.000-04:00,0.5899,0.0,hit,2.0
B64544B4,2026-04-06T19:41:23,Power,5,0.4116,3,Jordan Eberle,NHL,Points,0.5,under,0.583,0.0779,2026-04-06T19:38:00.000-04:00,0.583,0.0,miss,1.0
